Species;Higuchi;Iffsc;Leveg
Machaerium;0.538475273;0.584270315;0.65
Machaerium brasiliense;;0.584270315;
Machaerium debile;;0.584270315;
Machaerium hatschbachii;;0.584270315;
Machaerium hirtum;;0.584270315;
Machaerium nyctitans;;0.584270315;
Machaerium paraguariense;0.538475273;0.567087432;
Machaerium stipitatum;;0.601453198;0.65
Maclura;;0.467292249;
Maclura tinctoria;;0.467292249;
Magnolia;;0.557843861;
Magnolia champaca;;0.496827692;
Magnolia ovata;;0.61886003;
Manihot;;0.434934442;
Manihot grahamii;;0.434934442;
Manilkara;;0.588530728;
Manilkara subsericea;;0.588530728;
Maprounea;;0.434934442;
Maprounea brasiliensis;;0.434934442;
Margaritaria;;0.711612671;
Margaritaria nobilis;;0.711612671;
Marlierea;;0.626120426;
Marlierea eugeniopsoides;;0.641816486;
Marlierea excoriata;;0.599612843;
Marlierea racemosa;;0.641816486;
Marlierea reitzii;;0.641816486;
Marlierea silvatica;;0.605539831;
Matayba;0.536098275;0.619211056;0.825
Matayba elaeagnoides;0.536098275;0.52802552;0.81
Matayba intermedia;;0.710396593;0.84
Matayba obovata;;0.619211056;
Maytenus;0.603745287;0.575927514;
Maytenus aquifolia;;0.575927514;
Maytenus boaria;0.603745287;0.575927514;
Maytenus dasyclada;;0.575927514;
Maytenus evonymoides;;0.575927514;
Maytenus gonoclada;;0.575927514;
Maytenus ilicifolia;;0.575927514;
Melia;;0.437712533;
Melia azedarach;;0.437712533;
Meliosma;;0.475258073;0.62
Meliosma sellowii;;0.475258073;0.62
Miconia;;0.604318113;0.49817575
Miconia budlejoides;;0.604318113;
Miconia cabucu;;0.643156736;
Miconia chartacea;;0.604318113;
Miconia cinerascens;;0.604318113;0.49817575
Miconia cinnamomifolia;;0.615989723;
Miconia cubatanensis;;0.604318113;
Miconia fasciculata;;0.604318113;
Miconia hyemalis;;0.6292417;
Miconia inconspicua;;0.604318113;
Miconia latecrenata;;0.604318113;
Miconia ligustroides;;0.604318113;
Miconia lymanii;;0.604318113;
Miconia petropolitana;;0.604318113;
Miconia pusilliflora;;0.604318113;
Miconia regelii;;0.604318113;
Miconia sellowiana;;0.604318113;
Miconia theaezans;;0.604318113;
Miconia tristis;;0.604318113;
Miconia valtheri;;0.528884294;
Mimosa;0.6650303;0.607433679;0.56
Mimosa bimucronata;;0.607433679;
Mimosa scabrella;0.6650303;0.607433679;0.56
Mollinedia;;0.588501275;0.6
Mollinedia argyrogyna;;0.588501275;
Mollinedia blumenaviana;;0.588501275;
Mollinedia calodonta;;0.588501275;
Mollinedia clavigera;;0.588501275;
Mollinedia elegans;;0.588501275;
Mollinedia schottiana;;0.588501275;0.6
Mollinedia triflora;;0.588501275;
Mollinedia uleana;;0.588501275;
Monteverdia;;0.575927514;
Monteverdia dasyclada;;0.575927514;
Monteverdia patens;;0.575927514;
Moquiniastrum;;0.445812837;
Moquiniastrum polymorphum;;0.445812837;
Morus;;0.5166;
Morus nigra;;0.5166;
Mouriri;;0.604318113;
Mouriri chamissoana;;0.604318113;
Muellera;0.697492915;0.641332585;0.89
Muellera campestris;0.697492915;0.641332585;0.89
Muellera grazielae;;0.641332585;
Myrceugenia;0.598707628;0.468237324;0.695
Myrceugenia alpigena;;0.468237324;
Myrceugenia bracteosa;;0.468237324;
Myrceugenia campestris;;0.468237324;
Myrceugenia cucullata;;0.468237324;
Myrceugenia euosma;0.554904315;0.431370696;0.74
Myrceugenia glaucescens;0.603799828;0.468237324;
Myrceugenia hoehnei;;0.468237324;
Myrceugenia kleinii;;0.468237324;
Myrceugenia mesomischa;0.682437981;0.468237324;
Myrceugenia miersiana;0.56448304;0.468237324;0.65
Myrceugenia myrcioides;0.513935067;0.505103952;
Myrceugenia ovalifolia;;0.468237324;
Myrceugenia ovata ;0.56955649;0.56955649;
Myrceugenia oxysepala;0.627603894;0.468237324;
Myrceugenia pilotantha;;0.468237324;
Myrceugenia regnelliana;0.669381139;0.468237324;
Myrceugenia seriatoramosa;;0.468237324;
Myrceugenia venosa;;0.468237324;
Myrcia;0.626350168;0.599612843;0.855
Myrcia aethusa;;0.599612843;
Myrcia amazonica;;0.599612843;
Myrcia anacardiifolia;;0.599612843;
Myrcia brasiliensis;;0.599612843;
Myrcia catharinensis;;0.599612843;
Myrcia diaphana;;0.599612843;
Myrcia dichrophylla;;0.599612843;
Myrcia ferruginosa;;0.599612843;
Myrcia flagellaris;;0.599612843;
Myrcia glabra;;0.599612843;
Myrcia guianensis;0.683467313;0.709876827;0.9
Myrcia hartwegiana;;0.599612843;
Myrcia hatschbachii;0.721836263;0.599612843;
Myrcia heringii;;0.599612843;
Myrcia lajeana;;0.599612843;
Myrcia laruotteana;;0.599612843;
Myrcia multiflora;;0.599612843;
Myrcia neoriedeliana;;0.599612843;
Myrcia oblongata;0.738606016;0.599612843;
Myrcia oligantha;;0.599612843;
Myrcia palustris;0.490878432;0.524773025;
Myrcia palustris ;0.50873812;0.50873812;
Myrcia pubiflora;;0.599612843;
Myrcia pubipetala;;0.608265799;0.81
Myrcia pulchra;;0.599612843;
Myrcia racemosa;;0.599612843;
Myrcia retorta;;0.599612843;
Myrcia rupicola;;0.599612843;
Myrcia selloi;;0.599612843;
Myrcia spectabilis;;0.556543836;
Myrcia splendens;0.614574864;0.598604729;
Myrcia strigipes;;0.599612843;
Myrcia tenuivenosa;;0.599612843;
Myrcia tijucensis;;0.599612843;
Myrcia undulata;;0.599612843;
Myrcia venulosa;;0.599612843;
